Coach,Win Percent,Season,Record,Team,Sport
Lars Andersson,.583,2011-12,9-6-3,UNC Pembroke,Womens Soccer
Brittany Jones,.000,2015-16,0-0,Fla. Southern,Womens Soccer
Brittany Jones,.367,2014-15,4-8-3,Fla. Southern,Womens Soccer
Craig Martin,.185,2014-15,5-22,Mount Ida,Mens Volleyball
Keith Koch,.310,2006-07,9-20,Medaille,Womens Volleyball
Craig Martin,.222,2012-13,6-21,Mount Ida,Mens Volleyball
Craig Martin,.276,2013-14,8-21,Mount Ida,Mens Volleyball
Keith Koch,.735,2011-12,25-9,Medaille,Mens Volleyball
Keith Koch,.548,2012-13,17-14,Medaille,Mens Volleyball
Keith Koch,.000,2015-16,0-0,Medaille,Womens Volleyball
Keith Koch,.786,2010-11,22-6,Medaille,Mens Volleyball
David Kulik,.529,2011-12,8-7-2,Clark (MA),Mens Soccer
Keith Koch,.654,2013-14,17-9,Medaille,Mens Volleyball
Keith Koch,.576,2014-15,19-14,Medaille,Mens Volleyball
Rose Shires,.000,2015-16,0-0,Omaha,Womens Volleyball
Rupert Lewis,.684,2011-12,13-6,St. Josephs (ME),Field Hockey
"Ted Karras, Jr.",.364,2014-15,4-7,Walsh,Football
"Ted Karras, Jr.",.000,2015-16,0-0,Walsh,Football
"Ted Karras, Jr.",.923,2011-12,12-1,Marian (IN),Football
"Ted Karras, Jr.",.273,2013-14,3-8,Walsh,Football
Rose Shires,.241,2013-14,7-22,Omaha,Womens Volleyball
Rose Shires,.424,2014-15,14-19,Omaha,Womens Volleyball
Rose Shires,.179,2011-12,5-23,Omaha,Womens Volleyball
Rose Shires,.214,2012-13,6-22,Omaha,Womens Volleyball
Craig Bohl,.333,2014-15,4-8,Wyoming,Football
Bret Stothart,.000,2015-16,0-0,Western New Eng.,Womens Volleyball
Julie Darty,.000,2015-16,0-0,Jacksonville,Womens Volleyball
Mark McNellie,.273,2011-12,3-8,Lake Erie,Football
Phil Jones,.700,1921-22,7-3,Mansfield,Mens Basketball
Julie Darty,.559,2014-15,19-15,Jacksonville,Womens Volleyball
Phil Jones,.273,2014-15,3-8,Shorter,Football
Phil Jones,.000,2015-16,0-0,Shorter,Football
Glenn DeHaven,.000,2015-16,0-0,Stevens,Womens Volleyball
Phil Jones,.182,2013-14,2-9,Shorter,Football
Pam Hoerup,.486,2014-15,17-18,SUNY Cortland,Womens Volleyball
Mark McNellie,.273,2012-13,3-8,Lake Erie,Football
Mark McNellie,.364,2013-14,4-7,Lake Erie,Football
Alf Bilbao,.690,2008-09,13-5-3,Drury,Mens Soccer
Clovis Simas,.714,2012-13,13-4-4,Union (TN),Mens Soccer
Amy Reifert,.000,2015-16,0-0,Chicago,Womens Soccer
Heidi Woodcock,.674,2011-12,14-6-3,SUNY Cortland,Womens Soccer
Heidi Woodcock,.652,2012-13,12-5-6,SUNY Cortland,Womens Soccer
Heidi Woodcock,.611,2013-14,8-4-6,SUNY Cortland,Womens Soccer
Heidi Woodcock,.444,2014-15,7-9-2,SUNY Cortland,Womens Soccer
Heidi Woodcock,.000,2015-16,0-0,SUNY Cortland,Womens Soccer
Michele Dombrowski,.333,2011-12,5-10,Sewanee,Field Hockey
Michele Dombrowski,.412,2012-13,7-10,Sewanee,Field Hockey
Michele Dombrowski,.500,2013-14,8-8,Sewanee,Field Hockey
Michele Dombrowski,.500,2014-15,8-8,Sewanee,Field Hockey
Stacey Gaudette,.500,2013-14,9-9,Mercyhurst,Field Hockey
Stacey Gaudette,.333,2012-13,6-12,Mercyhurst,Field Hockey
Eddie Garfinkle,.300,2014-15,3-7,Birmingham-So.,Football
Eddie Garfinkle,.556,2013-14,5-4,Birmingham-So.,Football
Stacey Gaudette,.389,2011-12,7-11,Mercyhurst,Field Hockey
Eddie Garfinkle,.000,2015-16,0-0,Birmingham-So.,Football
Matt Torok,.000,2015-16,0-0,Ozarks (AR),Mens Soccer
Matt Torok,.550,2014-15,10-8-2,Ozarks (AR),Mens Soccer
Eddie Garfinkle,.700,2012-13,7-3,Birmingham-So.,Football
Eddie Garfinkle,.778,2011-12,7-2,Birmingham-So.,Football
John Pearce,.727,1997-98,8-3,Stephen F. Austin,Football
John Pearce,.636,1996-97,7-4,Stephen F. Austin,Football
Jeremy Cameron,.556,2012-13,5-4,Mass. Maritime,Football
Jeremy Cameron,.500,2013-14,5-5,Mass. Maritime,Football
Chad Wiseman,.500,2013-14,9-9-1,Western Mich.,Mens Soccer
Chad Wiseman,.526,2014-15,8-7-4,Western Mich.,Mens Soccer
Chad Wiseman,.659,2011-12,14-7-1,Olivet,Mens Soccer
Chad Wiseman,.750,2012-13,16-5-1,Olivet,Mens Soccer
Vito LaFrancesca,.773,2014-15,17-5,Lasell,Womens Soccer
Vito LaFrancesca,.000,2015-16,0-0,Lasell,Womens Soccer
Vito LaFrancesca,.738,2012-13,15-5-1,Lasell,Womens Soccer
Vito LaFrancesca,.795,2013-14,17-4-1,Lasell,Womens Soccer
Jeremy Bishop,.000,2015-16,0-0,Central Ark.,Womens Soccer
Vito LaFrancesca,.738,2011-12,15-5-1,Lasell,Womens Soccer
Jimmy Stephens,.595,2005-06,12-8-1,Piedmont,Womens Soccer
Shane Richardson,.200,2014-15,2-8,UNC Pembroke,Football
Derek Marinatos,.531,2014-15,8-7-1,North Florida,Mens Soccer
Joe Russo,.529,1994-95,18-16,St. Johns (NY),Baseball
Derek Marinatos,.528,2013-14,8-7-3,North Florida,Mens Soccer
Erik Burstein,.738,2014-15,15-5-1,Kutztown,Womens Soccer
Erik Burstein,.650,2013-14,13-7,Kutztown,Womens Soccer
Dennis Detrie,.714,2013-14,14-5-2,St. Norbert,Womens Soccer
Dennis Detrie,.725,2012-13,13-4-3,St. Norbert,Womens Soccer
Dennis Detrie,.575,2011-12,11-8-1,St. Norbert,Womens Soccer
Andrew Burr,.000,2015-16,0-0,Furman,Womens Soccer
Erik Burstein,.632,2012-13,11-6-2,Kutztown,Womens Soccer
Erik Burstein,.727,2011-12,16-6,Kutztown,Womens Soccer
Dennis Detrie,.000,2015-16,0-0,St. Norbert,Womens Soccer
Dennis Detrie,.417,2014-15,7-10-1,St. Norbert,Womens Soccer
Jessica Clinton,.472,2014-15,8-9-1,Fordham,Womens Soccer
Jessica Clinton,.000,2015-16,0-0,Fordham,Womens Soccer
Barry McNamara,.553,2012-13,9-7-3,Monmouth (IL),Womens Soccer
Barry McNamara,.684,2013-14,12-5-2,Monmouth (IL),Womens Soccer
Barry McNamara,.278,2014-15,5-13,Monmouth (IL),Womens Soccer
Barry McNamara,.000,2015-16,0-0,Monmouth (IL),Womens Soccer
Ron Dolciato,.400,2014-15,4-6,Saint Vincent,Football
Ron Dolciato,.000,2015-16,0-0,Saint Vincent,Football
Barry McNamara,.206,2012-13,3-13-1,Monmouth (IL),Mens Soccer
Barry McNamara,.529,2011-12,8-7-2,Monmouth (IL),Womens Soccer
Robert Cole,.000,2015-16,0-0,New Jersey City,Womens Volleyball
Al Campora,.744,2011-12,29-10,FDU-Florham,Womens Volleyball
Kristina Corona,.000,2015-16,0-0,Austin,Womens Soccer
Jimmy Stephens,.368,2014-15,7-12,Piedmont,Mens Soccer
Travis Hudson,.818,2013-14,27-6,Western Ky.,Womens Volleyball
Travis Hudson,.892,2012-13,33-4,Western Ky.,Womens Volleyball
Travis Hudson,.000,2015-16,0-0,Western Ky.,Womens Volleyball
Travis Hudson,.833,2014-15,30-6,Western Ky.,Womens Volleyball
Kristina Corona,.595,2012-13,12-8-1,Dallas,Womens Soccer
Kristina Corona,.600,2011-12,11-7-2,Dallas,Womens Soccer
Kristina Corona,.524,2014-15,11-10,Austin,Womens Soccer
Kristina Corona,.325,2013-14,6-13-1,Austin,Womens Soccer
Chuck Bechtol,.000,2015-16,0-0,Linfield,Mens Soccer
Cory Phelps,.421,1995-96,7-10-2,Graceland (IA),Womens Soccer
Preston Goldfarb,.528,2013-14,9-8-1,Birmingham-So.,Mens Soccer
Preston Goldfarb,.750,2014-15,13-4-1,Birmingham-So.,Mens Soccer
Preston Goldfarb,.588,2011-12,10-7,Birmingham-So.,Mens Soccer
Preston Goldfarb,.529,2012-13,6-5-6,Birmingham-So.,Mens Soccer
Chuck Bechtol,.472,2013-14,8-9-1,Linfield,Mens Soccer
Chuck Bechtol,.361,2014-15,6-11-1,Linfield,Mens Soccer
Preston Goldfarb,.000,2015-16,0-0,Birmingham-So.,Mens Soccer
Chuck Bechtol,.389,2012-13,7-11,Linfield,Mens Soccer
Jeff Knarr,.400,2014-15,4-6,Kings (PA),Football
Gary Goff,.000,2015-16,0-0,Tiffin,Football
Eva Meredith,.000,2015-16,0-0,Wesleyan (CT),Womens Soccer
Bryndon Paulsen,.185,2014-15,5-22,Manchester,Womens Volleyball
Tim Loesch,.333,2011-12,9-18,Stetson,Womens Volleyball
Margaret Saurin,.342,2013-14,6-12-1,IPFW,Womens Soccer
Margaret Saurin,.553,2012-13,10-8-1,IPFW,Womens Soccer
Margaret Saurin,.441,2011-12,7-9-1,IPFW,Womens Soccer
Margaret Saurin,.441,2010-11,7-9-1,IPFW,Womens Soccer
Michael Seemann,.000,2015-16,0-0,Portland St.,Womens Volleyball
Michael Seemann,.310,2014-15,9-20,Portland St.,Womens Volleyball
Michael Seemann,.656,2013-14,21-11,Portland St.,Womens Volleyball
Michael Seemann,.656,2012-13,21-11,Portland St.,Womens Volleyball
Robert Talley,.364,2011-12,4-7,Stonehill,Football
Margaret Saurin,.000,2015-16,0-0,Oakland,Womens Soccer
Damir Pesa,.235,2012-13,3-12-2,Nichols,Womens Soccer
Kisha Lucette,.406,2014-15,13-19,Paine,Womens Volleyball
Jodi Kenyon,.708,2013-14,16-6-2,Endicott,Womens Soccer
Andrea Hudson,.732,2012-13,30-11,Lee,Womens Volleyball
Andrea Hudson,.667,2013-14,22-11,Lee,Womens Volleyball
Laura Baker,.000,2015-16,0-0,VCU,Field Hockey
Karen Hoppa,.667,2011-12,15-7-2,Auburn,Womens Soccer
Karen Hoppa,.540,2012-13,13-11-,Auburn,Womens Soccer
Karen Hoppa,.476,2013-14,8-9-4,Auburn,Womens Soccer
Karen Hoppa,.614,2014-15,12-7-3,Auburn,Womens Soccer
Brian Jenkins,.000,2015-16,0-0,Alabama St.,Football
Jodi Kenyon,.571,2011-12,12-9,Endicott,Womens Soccer
Jodi Kenyon,.696,2012-13,14-5-4,Endicott,Womens Soccer
Jolene Shepardson,.452,2012-13,14-17,CSU Bakersfield,Womens Volleyball
Andrea Hudson,.919,2011-12,34-3,Lee,Womens Volleyball
Jolene Shepardson,.308,2011-12,8-18,CSU Bakersfield,Womens Volleyball
Wendy Andreatta,.700,2013-14,14-6,Rochester (NY),Field Hockey
Mike Lupenec,.000,2015-16,0-0,Detroit,Womens Soccer
Eric Kinsey,.111,2013-14,2-16,Pitt.-Johnstown,Mens Soccer
Brian Speck,.288,1996-97,9-23-1,Union (NY),Softball
Brian Speck,.000,1995-96,0-0,Union (NY),Softball
Brian Speck,.000,2015-16,0-0,Union (NY),Womens Soccer
Evan Fiffles,.658,2014-15,11-5-3,Lewis,Mens Soccer
Fran Grembowicz,.412,2014-15,7-10,St. Lawrence,Field Hockey
Wendy Andreatta,.684,2011-12,13-6,Rochester (NY),Field Hockey
Paul Schlomer,.743,2012-13,26-9,Edgewood,Womens Volleyball
Paul Schlomer,.600,2011-12,21-14,Edgewood,Womens Volleyball
Michael Zion,.000,2015-16,0-0,Anderson (SC),Mens Soccer
Ryan Schopf,.500,2014-15,17-17,Lakeland,Womens Volleyball
Fred Glanville,.000,2015-16,0-0,Westfield St.,Womens Volleyball
Wendy Andreatta,.750,2012-13,18-6,Rochester (NY),Field Hockey
Fred Glanville,.559,2013-14,19-15,Westfield St.,Womens Volleyball
Fred Glanville,.312,2012-13,10-22,Westfield St.,Womens Volleyball
Fred Glanville,.417,2011-12,15-21,Westfield St.,Womens Volleyball
Jolene Shepardson,.000,2015-16,0-0,San Jose St.,Womens Volleyball
Lance Thompson,.688,2013-14,10-4-2,Hawaii Hilo,Womens Soccer
Chris LeGates,.810,2012-13,16-3-2,St. Joseph (CT),Womens Soccer
Lance Thompson,.444,2014-15,7-9-2,Hawaii Hilo,Mens Soccer
Lance Thompson,.000,2015-16,0-0,Hawaii Hilo,Mens Soccer
Lance Thompson,.500,2012-13,5-5-7,Cal St. San Bdino,Mens Soccer
Jolene Shepardson,.129,2014-15,4-27,San Jose St.,Womens Volleyball
Tim Launtz,.000,2015-16,0-0,Juniata,Football
Ryan Lakin,.526,2013-14,9-8-2,Ill. Wesleyan,Mens Soccer
Jolene Shepardson,.636,2013-14,21-12,CSU Bakersfield,Womens Volleyball
Geoff Braun,.000,2015-16,0-0,Fredonia,Womens Volleyball
Lance Thompson,.000,2015-16,0-0,Hawaii Hilo,Womens Soccer
Kristin St. Clair,.520,2010-11,12-11-,Connecticut Col.,Womens Ice Hockey
Chris LeGates,.619,2011-12,12-7-2,St. Joseph (CT),Womens Soccer
Bill Lynch,.700,2014-15,7-3,DePauw,Football
Amber Warners,.649,2002-03,24-13,Calvin,Softball
Corwyn Ritch,.500,2001-02,10-10,St. Marys (TX),Mens Soccer
Chris LeGates,.583,2014-15,10-7-1,St. Joseph (CT),Womens Soccer
Andy Smith,.000,2015-16,0-0,Pacific,Field Hockey
Chris LeGates,.000,2015-16,0-0,St. Joseph (CT),Womens Soccer
Andy Smith,.350,2014-15,7-13,Pacific,Field Hockey
Darrin McClure,.281,2013-14,9-23,UT Martin,Womens Volleyball
Dave Doeren,.615,2014-15,8-5,North Carolina St.,Football
Darrin McClure,.000,2015-16,0-0,Union (TN),Womens Volleyball
Erin Fitzgerald,.118,2005-06,1-14-2,Felician,Womens Soccer
Paul Snape,.472,2014-15,6-7-5,Butler,Mens Soccer
Paul Snape,.000,2015-16,0-0,Butler,Mens Soccer
Darrin McClure,.576,2011-12,19-14,UT Martin,Womens Volleyball
Amber Warners,.000,2015-16,0-0,Calvin,Womens Volleyball
Corwyn Ritch,.474,2012-13,9-10,St. Marys (TX),Womens Soccer
Erin Fitzgerald,.175,2006-07,3-16-1,Felician,Womens Soccer
Rawle Hensford,.200,2011-12,2-11-2,Brooklyn,Mens Soccer
Carl Hutter,.886,2013-14,18-1-3,Lindenwood (MO),Mens Soccer
Corwyn Ritch,.500,2011-12,8-8-2,St. Marys (TX),Womens Soccer
Bob Owens,.444,2011-12,4-5,Chapman,Football
Rawle Hensford,.690,2012-13,13-5-3,Brooklyn,Mens Soccer
Tony Pierce,.294,2010-11,3-10-4,Lakeland,Mens Soccer
Bob Owens,.429,1979-80,3-4,Arizona St.,Football
Tony Pierce,.528,2011-12,8-7-3,Lakeland,Mens Soccer
Bob Owens,.889,2013-14,8-1,Chapman,Football
Scott Miller,.471,2011-12,7-8-2,Alfred,Mens Soccer
Bob Owens,.667,2012-13,6-3,Chapman,Football
Ryan Lakin,.265,1998-99,4-12-1,Millikin,Womens Soccer
Bob Owens,.000,2015-16,0-0,Chapman,Football
Amber Warners,.972,2013-14,35-1,Calvin,Womens Volleyball
Carl Hutter,.825,2012-13,15-2-3,Lindenwood (MO),Mens Soccer
Tony Pierce,.263,2013-14,4-13-2,Wis. Lutheran,Womens Soccer
Bob Owens,.800,2014-15,8-2,Chapman,Football
Tony Pierce,.300,2014-15,5-13-2,Wis. Lutheran,Womens Soccer
Chris Williams,.000,2015-16,0-0,Coker,Mens Soccer
Chris Williams,.382,2014-15,4-8-5,Coker,Mens Soccer
Mark Hudspeth,.692,2014-15,9-4,La.-Lafayette,Football
Mark Hudspeth,.692,2013-14,9-4,La.-Lafayette,Football
Mark Hudspeth,.692,2012-13,9-4,La.-Lafayette,Football
Linda Hamilton,.000,2015-16,0-0,Southwestern (TX),Womens Soccer
Dale Lindsey,.000,2015-16,0-0,San Diego,Football
Dale Lindsey,.750,2014-15,9-3,San Diego,Football
Dale Lindsey,.727,2013-14,8-3,San Diego,Football
Mark Hudspeth,.000,2015-16,0-0,La.-Lafayette,Football
Eddie Salazar,.438,2012-13,6-8-2,Texas Lutheran,Mens Soccer
Eddie Salazar,.059,2011-12,1-16,Texas Lutheran,Mens Soccer
Todd Ditmar,.925,2012-13,18-1-1,Westfield St.,Womens Soccer
Todd Ditmar,.762,2011-12,15-4-2,Westfield St.,Womens Soccer
Laura Heethius,.475,2014-15,8-9-3,Waynesburg,Womens Soccer
Fiona Barkley,.000,2015-16,0-0,Meredith,Womens Volleyball
Steve Pike,.094,2003-04,3-29,SUNY Potsdam,Softball
Steve Pike,.000,2015-16,0-0,Brockport,Womens Volleyball
Jen Greeny,.375,2011-12,12-20,Washington St.,Womens Volleyball
Steve Pike,.286,2004-05,8-20,SUNY Potsdam,Softball
Jen Greeny,.545,2013-14,18-15,Washington St.,Womens Volleyball
Jen Greeny,.406,2012-13,13-19,Washington St.,Womens Volleyball
DiShondra Goree,.206,2014-15,7-27,Shaw,Softball
Jen Greeny,.312,2014-15,10-22,Washington St.,Womens Volleyball
Kurt Kohler,.515,2011-12,17-16,Fort Hays St.,Womens Volleyball
Chase Brooks,.000,2015-16,0-0,Duquesne,Mens Soccer
Chase Brooks,.528,2014-15,8-7-3,Duquesne,Mens Soccer
Chase Brooks,.528,2013-14,9-8-1,Duquesne,Mens Soccer
Chase Brooks,.789,2012-13,13-2-4,Niagara,Mens Soccer
Chase Brooks,.639,2011-12,9-4-5,Niagara,Mens Soccer
Latonia Allen,.000,2015-16,0-0,Huntingdon,Womens Volleyball
Latonia Allen,.385,2014-15,10-16,Emmanuel (GA),Womens Volleyball
Jon Moseley,.000,2015-16,0-0,Shorter,Womens Volleyball
Jon Moseley,.778,2014-15,21-6,Shorter,Womens Volleyball
Chris Poole,.875,2012-13,28-4,Florida St.,Womens Volleyball
Chris Poole,.800,2011-12,28-7,Florida St.,Womens Volleyball
Chris Poole,.909,2014-15,30-3,Florida St.,Womens Volleyball
Chris Poole,.765,2013-14,26-8,Florida St.,Womens Volleyball
Kurt Kohler,.424,2013-14,14-19,Fort Hays St.,Womens Volleyball
Kurt Kohler,.622,2012-13,23-14,Fort Hays St.,Womens Volleyball
Doug Elder,.000,2015-16,0-0,Midwestern St.,Mens Soccer
Craig Candeto,.300,2013-14,3-7,Capital,Football
Doug Elder,.722,2013-14,12-4-2,Midwestern St.,Mens Soccer
Doug Elder,.737,2014-15,13-4-2,Midwestern St.,Mens Soccer
Doug Elder,.750,2011-12,13-4-1,Midwestern St.,Mens Soccer
Doug Elder,.735,2012-13,10-2-5,Midwestern St.,Mens Soccer
Sandy Rowley,.429,2014-15,12-16,Ohio Dominican,Womens Volleyball
Sandy Rowley,.000,2015-16,0-0,Ohio Dominican,Womens Volleyball
Sandy Rowley,.448,2012-13,13-16,Ohio Dominican,Womens Volleyball
Sandy Rowley,.467,2013-14,14-16,Ohio Dominican,Womens Volleyball
Jill Muhe,.519,2014-15,14-13,San Fran. St.,Womens Volleyball
Jill Muhe,.000,2015-16,0-0,San Fran. St.,Womens Volleyball
Mark Perrson,.368,2011-12,6-11-2,Southwestern Okla.,Womens Soccer
Mark Perrson,.932,2012-13,20-1-1,Southwestern Okla.,Womens Soccer
Mark Perrson,.737,2013-14,13-4-2,Southwestern Okla.,Womens Soccer
Mark Perrson,.194,2014-15,2-13-3,Southwestern Okla.,Womens Soccer
Mark Perrson,.000,2015-16,0-0,Southwestern Okla.,Womens Soccer
Beth Launiere,.355,2011-12,11-20,Utah,Womens Volleyball
Beth Launiere,.424,2012-13,14-19,Utah,Womens Volleyball
Beth Launiere,.618,2013-14,21-13,Utah,Womens Volleyball
Monica Gerardo,.278,2012-13,5-13,Whittier,Womens Soccer
Kelly Sheffield,.000,2015-16,0-0,Wisconsin,Womens Volleyball
Scott Frey,.942,2012-13,24-1-1,Messiah,Womens Soccer
Scott Frey,.979,2011-12,23-0-1,Messiah,Womens Soccer
Meredith Rosenbaum Fear,.000,2015-16,0-0,Harding,Womens Volleyball
Meredith Rosenbaum Fear,.690,2014-15,20-9,Harding,Womens Volleyball
Meredith Rosenbaum Fear,.771,2013-14,27-8,Harding,Womens Volleyball
Meredith Rosenbaum Fear,.824,2012-13,28-6,Harding,Womens Volleyball
Meredith Rosenbaum Fear,.611,2011-12,22-14,York (NE),Womens Volleyball
Sarah Davis,.303,2013-14,10-23,Wooster,Womens Volleyball
Tim Loesch,.529,2013-14,18-16,Stetson,Womens Volleyball
Elizabeth Pike,.674,2011-12,15-7-1,Shenandoah,Womens Soccer
Jaime Ginsberg,.000,2015-16,0-0,Smith,Field Hockey
Scott Frey,.940,2014-15,22-0-3,Messiah,Womens Soccer
Scott Frey,.854,2013-14,20-3-1,Messiah,Womens Soccer
Neil Stafford,.000,2015-16,0-0,Cincinnati,Womens Soccer
Sarah Davis,.688,2011-12,22-10,Wooster,Womens Volleyball
Jon Akin,.389,2003-04,6-10-2,Oglethorpe,Womens Soccer
Kelly Sheffield,.781,2011-12,25-7,Dayton,Womens Volleyball
Kelly Sheffield,.844,2012-13,27-5,Dayton,Womens Volleyball
Kelly Sheffield,.737,2013-14,28-10,Wisconsin,Womens Volleyball
Robert Friske,.167,2013-14,0-10-5,Oswego St.,Mens Soccer
Kieron Heblich,.382,2012-13,6-10-1,Christian Bros.,Womens Soccer
Neil Stafford,.674,2012-13,15-7-1,Central Mich.,Womens Soccer
Robert Skinner,.393,2011-12,11-17,Albany St. (GA),Womens Basketball
Jon Akin,.000,2015-16,0-0,Oglethorpe,Mens Soccer
Neil Stafford,.425,2013-14,8-11-1,Cincinnati,Womens Soccer
Ray Woodard,.333,2012-13,4-8,Lamar,Football
Ray Woodard,.364,2011-12,4-7,Lamar,Football
Ben Birdsong,.000,2015-16,0-0,Shorter,Womens Soccer
Ben Birdsong,.609,2014-15,14-9,Shorter,Womens Soccer
Ben Birdsong,.294,2013-14,5-12,Shorter,Womens Soccer
Julia Turner,.074,2012-13,2-25,LeMoyne-Owen,Womens Basketball
Julia Turner,.385,2011-12,10-16,LeMoyne-Owen,Womens Basketball
Julia Turner,.000,2015-16,0-0,LeMoyne-Owen,Womens Volleyball
Julia Turner,.172,2014-15,5-24,LeMoyne-Owen,Womens Volleyball
Julia Turner,.227,2013-14,5-17,LeMoyne-Owen,Womens Volleyball
Shane Rinner,.000,2015-16,0-0,Haverford,Mens Soccer
Robert Friske,.333,2014-15,5-11-2,Oswego St.,Mens Soccer
Jaime Ginsberg,.550,2013-14,11-9,Smith,Field Hockey
Jaime Ginsberg,.389,2012-13,7-11,Smith,Field Hockey
Jon Akin,.395,2014-15,7-11-1,Oglethorpe,Mens Soccer
Jeff Sokol,.700,2013-14,7-3,Rose-Hulman,Football
Jaime Ginsberg,.235,2011-12,4-13,Smith,Field Hockey
Sarah Davis,.000,2015-16,0-0,Wooster,Womens Volleyball
Shane Rinner,.667,2013-14,11-5-2,Haverford,Mens Soccer
Ainslee Lamb,.000,2015-16,0-0,Boston College,Field Hockey
Chuck Denune,.700,2011-12,7-3,Bridgewater St.,Football
Chuck Denune,.600,2013-14,6-4,Bridgewater St.,Football
Chuck Denune,.400,2014-15,4-6,Bridgewater St.,Football
Chuck Denune,.000,2015-16,0-0,Bridgewater St.,Football
Patrick Murphy,.828,2010-11,53-11,Alabama,Softball
Patrick Murphy,.882,2011-12,60-8,Alabama,Softball
Patrick Murphy,.750,2012-13,45-15,Alabama,Softball
Patrick Murphy,.803,2013-14,53-13,Alabama,Softball
Patrick Murphy,.762,2014-15,48-15,Alabama,Softball
Ken Murczek,.684,2012-13,26-12,North Texas,Womens Volleyball
Ken Murczek,.500,2013-14,16-16,Wake Forest,Womens Volleyball
Alf Bilbao,.711,2004-05,12-4-3,Truman,Mens Soccer
Christi Kelsey,.848,2014-15,28-5,Williams,Womens Volleyball
Christi Kelsey,.000,2015-16,0-0,Williams,Womens Volleyball
Mike Shiels,.781,2011-12,12-3-1,Notre Dame (OH),Womens Soccer
Mike Shiels,.176,2012-13,2-13-2,Notre Dame (OH),Womens Soccer
Mike Shiels,.889,2013-14,16-2,Notre Dame (OH),Womens Soccer
Mike Shiels,.789,2014-15,14-3-2,Notre Dame (OH),Womens Soccer
Mike Shiels,.000,2015-16,0-0,Notre Dame (OH),Womens Soccer
Ken Murczek,.500,2011-12,17-17,North Texas,Womens Volleyball
Rick Swan,.697,2012-13,23-10,Colorado Col.,Womens Volleyball
Rick Swan,.825,2011-12,33-7,Colorado Col.,Womens Volleyball
Gerson Echeverry,.000,2015-16,0-0,Seton Hall,Mens Soccer
Gerson Echeverry,.441,2014-15,5-7-5,Seton Hall,Mens Soccer
Gerson Echeverry,.444,2013-14,7-9-2,Seton Hall,Mens Soccer
Gerson Echeverry,.333,2012-13,6-12,Seton Hall,Mens Soccer
Chris Wells,.597,2014-15,19-12-,St. Lawrence,Womens Ice Hockey
Chris Wells,.414,2013-14,13-19-,St. Lawrence,Womens Ice Hockey
Tim Horsmon,.000,2015-16,0-0,Dayton,Womens Volleyball
Rick Swan,.769,2014-15,30-9,Colorado Col.,Womens Volleyball
Rick Swan,.875,2013-14,35-5,Colorado Col.,Womens Volleyball
Justin Ingram,.677,2011-12,21-10,Arkansas St.,Womens Volleyball
Mike Boland,.000,2015-16,0-0,Benedictine (IL),Womens Soccer
George Mihalik,.545,2012-13,6-5,Slippery Rock,Football
Lenny Armuth,.000,2015-16,0-0,Drew,Mens Soccer
Lenny Armuth,.591,2014-15,10-6-6,Drew,Mens Soccer
Damon Rensing,.543,2012-13,12-10-,Michigan St.,Mens Soccer
Damon Rensing,.474,2011-12,7-8-4,Michigan St.,Mens Soccer
Damon Rensing,.652,2014-15,12-5-6,Michigan St.,Mens Soccer
Damon Rensing,.674,2013-14,14-6-3,Michigan St.,Mens Soccer
Mike Boland,.237,2014-15,4-14-1,Benedictine (IL),Womens Soccer
Damon Rensing,.000,2015-16,0-0,Michigan St.,Mens Soccer
Mary DeJute,.875,2013-14,28-4,Belmont Abbey,Womens Volleyball
Mary DeJute,.839,2012-13,26-5,Belmont Abbey,Womens Volleyball
Mary DeJute,.545,2011-12,18-15,Belmont Abbey,Womens Volleyball
Jim Reddish,.000,2015-16,0-0,Stonehill,Mens Soccer
Jim Reddish,.639,2014-15,11-6-1,Stonehill,Mens Soccer
Jim Reddish,.344,2013-14,5-10-1,Stonehill,Mens Soccer
Jim Reddish,.324,2012-13,5-11-1,Stonehill,Mens Soccer
Jim Reddish,.526,2011-12,10-9,Stonehill,Mens Soccer
Eddie Stawinksi,.400,2011-12,12-18,Montclair St.,Womens Volleyball
Eddie Stawinksi,.667,2012-13,22-11,Montclair St.,Womens Volleyball
Eddie Stawinksi,.613,2013-14,19-12,Montclair St.,Womens Volleyball
Eddie Stawinksi,.676,2014-15,23-11,Montclair St.,Womens Volleyball
Jessica Lane,.000,2015-16,0-0,Johnson & Wales (RI),Field Hockey
Ashley Stevens,.133,2014-15,2-13,Green Mountain,Womens Soccer
Mary DeJute,.000,2015-16,0-0,St. Edwards,Womens Volleyball
Mary DeJute,.452,2014-15,14-17,Belmont Abbey,Womens Volleyball
Phil Sykes,.762,2013-14,16-5,Albany (NY),Field Hockey
Alf Bilbao,.650,2007-08,13-7,Drury,Mens Soccer
Kisha Lucette,.000,2015-16,0-0,Paine,Womens Volleyball
Nicole Annaloro,.074,2014-15,2-25,Notre Dame de Namur,Womens Volleyball
Nicole Annaloro,.000,2015-16,0-0,Notre Dame de Namur,Womens Volleyball
Bill Swartz,.725,2012-13,14-5-1,Pomona-Pitzer,Mens Soccer
Bill Swartz,.682,2014-15,14-6-2,Pomona-Pitzer,Mens Soccer
Bill Swartz,.000,2015-16,0-0,Pomona-Pitzer,Mens Soccer
Bill Swartz,.278,1981-82,5-13,Thomas (ME),Baseball
Bill Swartz,.308,1983-84,4-9,Thomas (ME),Baseball
